email,password,is_tasker,num_of_completed_tasks,percent_positive,tasker_description,price_per_hour,first_name,last_name,zip_code,available_tasker_time,available_task_type,image_url,unavailable_tasker_weekday,num_of_reviews
aevanson0@disqus.com,REwTV8idc,true,30,98,Morbi ut odio.,53,Adolpho,Evanson,51672-4040,Evening 4PM - 8PM,Wait in Line,https://res.cloudinary.com/dezmnl5mf/image/upload/v1512006900/dummy_profile_image_m7vtxo.png,2,30
slowdes1@google.fr,n7CtbCJDCY,true,49,95,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus.",80,Sallee,Lowdes,30698-453,Morning 8AM - 12PM,Take Furniture Apart & Move It,https://res.cloudinary.com/dezmnl5mf/image/upload/v1512006900/dummy_profile_image_m7vtxo.png,1,22
wbeveridge2@i2i.jp,o9CPauq0H,true,52,86,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",51,Waiter,Beveridge,54458-988,Afternoon 12PM - 4PM,Deep Clean,https://res.cloudinary.com/dezmnl5mf/image/upload/v1512006900/dummy_profile_image_m7vtxo.png,2,22
ncoalbran3@themeforest.net,bAbmq6769,true,53,96,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",44,Niko,Coalbran,21695-099,Evening 4PM - 8PM,Cooking & Baking,https://res.cloudinary.com/dezmnl5mf/image/upload/v1512006900/dummy_profile_image_m7vtxo.png,2,22
dwilkennson4@homestead.com,KINySA,true,30,89,Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,49,Dame,Wilkennson,75870-003,Morning 8AM - 12PM,Entertain Guests,https://res.cloudinary.com/dezmnl5mf/image/upload/v1512006900/dummy_profile_image_m7vtxo.png,5,10
lromushkin5@deliciousdays.com,tjy4Qs524,true,46,100,Integer ac leo.,63,Lory,Romushkin,55312-008,Afternoon 12PM - 4PM,Dog Walking,https://res.cloudinary.com/dezmnl5mf/image/upload/v1512006900/dummy_profile_image_m7vtxo.png,4,30
kryson6@youtube.com,ivJDCjr98Z,true,35,88,Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,61,Klement,Ryson,36987-1150,Evening 4PM - 8PM,Dog Walking,https://res.cloudinary.com/dezmnl5mf/image/upload/v1512006900/dummy_profile_image_m7vtxo.png,4,12
mtooby7@ca.gov,2BfuWO8,true,31,93,Nam tristique tortor eu pede.,50,Mickey,Tooby,59630-702,Morning 8AM - 12PM,Assemble IKEA Furniture,https://res.cloudinary.com/dezmnl5mf/image/upload/v1512006900/dummy_profile_image_m7vtxo.png,2,16
lpittaway8@slate.com,2KAUaXoM,true,38,96,Vivamus in felis eu sapien cursus vestibulum.,35,Lacee,Pittaway,63629-4422,Afternoon 12PM - 4PM,Cooking & Baking,https://res.cloudinary.com/dezmnl5mf/image/upload/v1512006900/dummy_profile_image_m7vtxo.png,4,26
kpaolozzi9@seattletimes.com,ljpwCSfhC,true,55,94,Nullam varius. Nulla facilisi.,70,Kennie,Paolozzi,0378-1418,Evening 4PM - 8PM,General Handyman,https://res.cloudinary.com/dezmnl5mf/image/upload/v1512006900/dummy_profile_image_m7vtxo.png,2,26
